User ID,Rating,Latitude,Longitude
235,3,-1,-1
236,5,-1,-1
237,2,-1,-1
238,4,18.4371151,73.1242931
239,4,-1,-1
240,4,18.4371151,73.1242931
241,5,10.04071499,77.03320844
242,3,19.259141667,72.864845
243,2,28.68646303,77.3443593
244,5,20.707130861,83.491883939
245,3,28.68646303,77.3443593
246,5,20.34076537,85.81035012
247,4,-1,-1
248,4,18.4373786,73.1215332
249,1,28.6393833,77.1310974
250,4,18.5739732,73.79007031
251,4,18.5739732,73.79007031
252,4,18.57143758,73.792107787
253,4,18.50414622,73.92119178
254,3,18.50414622,73.92119178
255,4,18.50414622,73.92119178
256,4,18.50414622,73.92119178
257,5,30.6905947,76.7286973
258,3,18.50414622,73.92119178
259,3,18.50414622,73.92119178
260,1,18.50414622,73.92119178
261,2,18.50414622,73.92119178
262,3,18.50414622,73.92119178
263,1,13.00732146,80.25928544
264,4,13.059462581,80.260317593
265,2,22.5797022,88.3003781
266,5,27.16464736,75.72169096
267,5,27.16464736,75.72169096
268,5,27.16464736,75.72169096
269,5,27.16464736,75.72169096
270,5,27.16464736,75.72169096
271,5,27.16464736,75.72169096
272,5,27.16464736,75.72169096
273,5,27.16464736,75.72169096
274,5,27.16464736,75.72169096
275,5,-1,-1
276,5,-1,-1
277,5,27.16197081,75.71171336
278,5,27.16197081,75.71171336
279,5,27.16197081,75.71171336
280,5,27.16221474,75.71150413
281,5,27.16230258,75.71136486
282,5,27.16212593,75.71157195
283,5,27.16219775,75.71131319
284,5,27.16219775,75.71131319
285,5,27.16219775,75.71131319
286,5,27.16219775,75.71131319
287,5,27.16219775,75.71131319
288,5,27.16219775,75.71131319
289,5,27.16219775,75.71131319
290,5,27.16219775,75.71131319
291,5,27.16219775,75.71131319
292,5,27.16219775,75.71131319
293,5,27.16219775,75.71131319
294,5,27.16219775,75.71131319
295,5,27.16219775,75.71131319
296,5,27.16219775,75.71131319
297,5,27.16196146,75.71130529
298,5,27.16196146,75.71130529
299,5,27.16196146,75.71130529
300,1,18.62203107,73.87087456
301,4,18.4373786,73.1215332
302,1,18.5113829,73.845501
303,4,-1,-1
304,4,19.12907059,72.92948486
305,2,22.82915204,88.38058575
306,5,18.5441969,73.9244088
307,4,17.251748951,80.163352578
308,4,17.251748951,80.163352578
309,4,-1,-1
